path	colname
..\data_exploration\all_wiki_sizes.xlsx	Language
..\data_exploration\all_wiki_sizes.xlsx	Local_name
..\data_exploration\all_wiki_sizes.xlsx	Wiki
..\data_exploration\all_wiki_sizes.xlsx	Articles
..\data_exploration\all_wiki_sizes.xlsx	Total_pages
..\data_exploration\all_wiki_sizes.xlsx	Edits
..\data_exploration\all_wiki_sizes.xlsx	Admins
..\data_exploration\all_wiki_sizes.xlsx	Users
..\data_exploration\all_wiki_sizes.xlsx	Active_users
..\data_exploration\all_wiki_sizes.xlsx	Images
..\data_exploration\all_wiki_sizes.xlsx	Depth
..\data_exploration\multiword_stats.xlsx	language
..\data_exploration\multiword_stats.xlsx	train
..\data_exploration\multiword_stats.xlsx	train (%)
..\data_exploration\multiword_stats.xlsx	dev
..\data_exploration\multiword_stats.xlsx	dev (%)
..\data_exploration\multiword_stats.xlsx	test
..\data_exploration\multiword_stats.xlsx	test (%)
..\data_exploration\pos_above_length.xlsx	language
..\data_exploration\pos_above_length.xlsx	train >128
..\data_exploration\pos_above_length.xlsx	train >128(%)
..\data_exploration\pos_above_length.xlsx	train >256
..\data_exploration\pos_above_length.xlsx	train >256(%)
..\data_exploration\pos_above_length.xlsx	dev >128
..\data_exploration\pos_above_length.xlsx	dev >128(%)
..\data_exploration\pos_above_length.xlsx	dev >256
..\data_exploration\pos_above_length.xlsx	dev >256(%)
..\data_exploration\pos_above_length.xlsx	test >128
..\data_exploration\pos_above_length.xlsx	test >128(%)
..\data_exploration\pos_above_length.xlsx	test >256
..\data_exploration\pos_above_length.xlsx	test >256(%)
..\data_exploration\pos_above_length.xlsx	train+dev >128
..\data_exploration\pos_above_length.xlsx	train+dev >128(%)
..\data_exploration\pos_above_length.xlsx	train+dev >256
..\data_exploration\pos_above_length.xlsx	train+dev >256(%)
..\data_exploration\pos_basic_stats.xlsx	language
..\data_exploration\pos_basic_stats.xlsx	train_examples
..\data_exploration\pos_basic_stats.xlsx	dev_examples
..\data_exploration\pos_basic_stats.xlsx	test_examples
..\data_exploration\pos_basic_stats.xlsx	train_avg_tokens
..\data_exploration\pos_basic_stats.xlsx	dev_avg_tokens
..\data_exploration\pos_basic_stats.xlsx	test_avg_tokens
..\data_exploration\pos_basic_stats.xlsx	train_hapaxes
..\data_exploration\pos_basic_stats.xlsx	train_hapaxes(%)
..\data_exploration\pos_basic_stats.xlsx	dev_hapaxes
..\data_exploration\pos_basic_stats.xlsx	dev_hapaxes(%)
..\data_exploration\pos_basic_stats.xlsx	test_hapaxes
..\data_exploration\pos_basic_stats.xlsx	test_hapaxes(%)
..\data_exploration\pos_basic_stats.xlsx	train_unknown
..\data_exploration\pos_basic_stats.xlsx	train_unknown(%)
..\data_exploration\pos_basic_stats.xlsx	dev_unknown
..\data_exploration\pos_basic_stats.xlsx	dev_unknown(%)
..\data_exploration\pos_basic_stats.xlsx	test_unknown
..\data_exploration\pos_basic_stats.xlsx	test_unknown(%)
..\data_exploration\pos_split_word_stats.xlsx	Language
..\data_exploration\pos_split_word_stats.xlsx	split_word_%_train
..\data_exploration\pos_split_word_stats.xlsx	avg_subwords_per_split_train
..\data_exploration\pos_split_word_stats.xlsx	subword_token_%_train
..\data_exploration\pos_split_word_stats.xlsx	split_word_%
..\data_exploration\pos_split_word_stats.xlsx	avg_subwords_per_split
..\data_exploration\pos_split_word_stats.xlsx	subword_token_%
..\data_exploration\pos_text_types.xlsx	Group
..\data_exploration\pos_text_types.xlsx	Language
..\data_exploration\pos_text_types.xlsx	Train/Dev dataset
